[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:58,167 INFO Emulation - Epoch # 44 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:58,974 INFO Emulation - Epoch # 45 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:59,785 INFO Emulation - Epoch # 46 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:00,594 INFO Emulation - Epoch # 47 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:01,410 INFO Emulation - Epoch # 48 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:02,228 INFO Emulation - Epoch # 49 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:03,046 INFO Emulation - Epoch # 50 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:03,861 INFO Emulation - Epoch # 51 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:04,675 INFO Emulation - Epoch # 52 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:05,495 INFO Emulation - Epoch # 53 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:06,314 INFO Emulation - Epoch # 54 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:07,136 INFO Emulation - Epoch # 55 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:07,961 INFO Emulation - Epoch # 56 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:08,779 INFO Emulation - Epoch # 57 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:09,605 INFO Emulation - Epoch # 58 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:10,426 INFO Emulation - Epoch # 59 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:11,254 INFO Emulation - Epoch # 60 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:12,082 INFO Emulation - Epoch # 61 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:12,905 INFO Emulation - Epoch # 62 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:13,734 INFO Emulation - Epoch # 63 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:14,561 INFO Emulation - Epoch # 64 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:15,398 INFO Emulation - Epoch # 65 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:16,234 INFO Emulation - Epoch # 66 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:17,066 INFO Emulation - Epoch # 67 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:17,898 INFO Emulation - Epoch # 68 - loss => 17.332721507910527
